xName,n_structures,shape,fill,stroke,size
RET,21,circle,LimeGreen,LightGray,12.352941176470589
RIOK1,8,circle,LimeGreen,LightGray,10.823529411764707
RIOK2,6,circle,LimeGreen,LightGray,10.588235294117647
RIPK1,14,circle,LimeGreen,LightGray,11.529411764705882
RIPK2,23,circle,LimeGreen,LightGray,12.588235294117647
RIPK3,3,circle,LimeGreen,LightGray,10.235294117647058
RNAseL,2,circle,LimeGreen,LightGray,10.117647058823529
ROCK1,24,circle,LimeGreen,LightGray,12.705882352941176
ROCK2,9,circle,LimeGreen,LightGray,10.941176470588236
RON,1,circle,LimeGreen,LightGray,10.0
ROR1,1,circle,LimeGreen,LightGray,10.0
ROR2,2,circle,LimeGreen,LightGray,10.117647058823529
ROS,2,circle,LimeGreen,LightGray,10.117647058823529
RSK2,9,circle,LimeGreen,LightGray,10.941176470588236
RSK2-b,10,circle,LimeGreen,LightGray,11.058823529411764
RSK3,3,circle,LimeGreen,LightGray,10.235294117647058
RSK3-b,3,circle,LimeGreen,LightGray,10.235294117647058
RSK4,3,circle,LimeGreen,LightGray,10.235294117647058
RYK,1,circle,LimeGreen,LightGray,10.0
SGK1,3,circle,LimeGreen,LightGray,10.235294117647058
SGK196,2,circle,LimeGreen,LightGray,10.117647058823529
SLK,6,circle,LimeGreen,LightGray,10.588235294117647
SMG1,4,circle,LimeGreen,LightGray,10.352941176470589
SNRK,1,circle,LimeGreen,LightGray,10.0
SRC,20,circle,LimeGreen,LightGray,12.235294117647058
SRPK1,9,circle,LimeGreen,LightGray,10.941176470588236
SRPK2,2,circle,LimeGreen,LightGray,10.117647058823529
STLK3,2,circle,LimeGreen,LightGray,10.117647058823529
STLK5,2,circle,LimeGreen,LightGray,10.117647058823529
SYK,77,circle,LimeGreen,LightGray,18.941176470588236
SgK085,1,circle,LimeGreen,LightGray,10.0
SgK223,1,circle,LimeGreen,LightGray,10.0
SgK269,1,circle,LimeGreen,LightGray,10.0
SgK495,1,circle,LimeGreen,LightGray,10.0
TAK1,22,circle,LimeGreen,LightGray,12.470588235294118
TAO3,1,circle,LimeGreen,LightGray,10.0
TBK1,24,circle,LimeGreen,LightGray,12.705882352941176
TGFbR1,34,circle,LimeGreen,LightGray,13.882352941176471
TGFbR2,6,circle,LimeGreen,LightGray,10.588235294117647
TIE2,8,circle,LimeGreen,LightGray,10.823529411764707
TLK2,1,circle,LimeGreen,LightGray,10.0
TNIK,6,circle,LimeGreen,LightGray,10.588235294117647
TRKA,45,circle,LimeGreen,LightGray,15.176470588235293
TRKB,4,circle,LimeGreen,LightGray,10.352941176470589
TRKC,4,circle,LimeGreen,LightGray,10.352941176470589
TTBK1,7,circle,LimeGreen,LightGray,10.705882352941176
